gene	nectophore_developing	gastrozooid_mature	palpon_mature	gastrozooid_developing	palpon_developing	gonodendron_female_mature	pneumatophore_mature	gonodendron_male_mature
ANN22852-RA	52.6167977533288	40.6671805795623	79.0077443434854	30.14321334673	46.0888640829133	10.8830385558745	31.2446352423464	33.9109699066427
ANN22853-RA	4.73985279983571	0	0	0	0	0	0	0
ANN22854-RA	17.1573021446456	0	0	0	0.660345055231237	0	0	0
ANN22855-RA	55.7583274738052	94.3709419542324	218.792775390455	69.8913153170306	109.033284307099	162.788962427871	97.6493617168761	10.1797026982745
ANN22856-RA	137.041731208707	93.8835483300768	126.304425141163	157.735785514051	123.257467494658	978.156111033174	90.5498138186643	23.7628550643679
ANN22857-RA	1984.17864265135	484.211997943257	653.228061496745	142.240792749774	243.905970100999	870.276703194766	91.9504264176977	299.961409417083
ANN22858-RA	573.376378555305	608.090488957507	506.748386176487	565.93445758469	685.964607875776	877.907834611218	483.40545135573	140.537753904729
ANN22859-RA	11.0946389772222	5.72649855928811	4.6291337550651	8.75264702112839	5.21461653103234	21.9011462584615	6.88487485265653	12.4155922907392
ANN22860-RA	58.5924657570452	102.924484283737	139.357692446804	76.5797757796776	94.7728181669886	249.03191701432	120.628206379485	53737.8060331948
ANN22861-RA	617.102483463977	883.393766533247	1759.3705638709	491.302741408182	752.871337607711	339.036386294997	2103.18145865723	253.785338171905
ANN22862-RA	676.779639957019	390.914472793958	203.205389174392	691.428876691912	455.474498596878	970.447758670715	476.49656057074	460.680906487876
ANN22863-RA	0	0	0	0	0	0	0	0
ANN22864-RA	0	0	0	0	0.193166841781085	0	0	0
ANN22865-RA	0	0	0	0	0	0	0	0
ANN22866-RA	25.5919379922046	3.83223162238738	3.71457896409806	3.48080378618688	3.3346205386242	1.22151610179424	12.4386356250265	0
ANN22867-RA	1.701283133605	0	2.31154817008416	0	4.72124442937393	0	0	0
ANN22868-RA	0	0.290670791057829	0.457330494102623	0	0	0	0	0
ANN22869-RA	0.951794980969281	0	0	0	0	0	0	0
ANN22870-RA	0.792909717263094	1.53767483641369	1.35602973281055	0.302705144262367	0.931096069327976	0.250947566136012	2.93663090741045	0
ANN22871-RA	0.217121895359847	0	0.446109858012906	0	0	0	0	0
ANN22873-RA	10.4078827805444	6.65182500610481	2.21524147188187	14.7425325033174	8.67120084306465	76.8448227433705	16.1036778335038	1312.47818759191
ANN22874-RA	1342.23534985498	1740.31692591948	1751.23090411455	1127.25899687133	1860.70552325532	1220.0685209847	4772.68162198104	10106.0057365447
ANN22875-RA	0	1.78385839745819	1.45448106289062	0.85602472615289	0.653944221587638	2.03278543679306	1.34855254716986	0
ANN22876-RA	0.705701869179443	0	0	0.606645108724438	0	0	0	0
ANN22877-RA	0.740962678882534	0	0	0	0	0	0	0
ANN22878-RA	4.67220186648921	0	1.41498212086149	0	0.193150967568476	0	0	0
ANN22879-RA	11.0369054732365	9.75074511456993	1.92011562380901	10.0535778170706	9.36648551158917	42.4838264456803	6.99786931411404	0
ANN22880-RA	174.524906900747	98.3666334879816	68.3515376262332	161.377332448287	130.656968218794	530.820626834355	87.1198578406724	6.30532178003637
ANN22881-RA	129.676658807814	82.2183739444312	45.6132038741508	126.314804027592	106.388014885573	435.894760723633	69.6404527584672	15.9952968251697
ANN22882-RA	89.6709689299469	66.8345072935166	61.6899133494425	113.713348576273	74.6371810669059	211.466942347819	52.8094638063623	43.3799147380535
ANN22883-RA	0	2.95935328683679	0	0	0	0	0	0
ANN22884-RA	0	0	0	0	0	0	0	0
ANN22885-RA	0	0	0	0	0	0	0	0
ANN22886-RA	3153.14815434489	4610.90523995951	3980.72126165076	2625.46670159441	3010.23608425613	1852.86605066208	10673.6853548844	4776.55891942723
ANN22887-RA	378.359600308847	253.792292962658	233.535477367703	190.36464237578	246.429069441839	130.730284329573	436.05752452337	167.43240728199
ANN22888-RA	62.1481428551864	40.322302866758	65.236756916355	15.2455131705444	22.6371661464229	12.2966588910469	47.4950195177096	136.221689749295
ANN22889-RA	478.121854024902	919.054787054436	261.997866122136	681.558755987515	457.858224118036	444.975093836445	332.251044136234	73.4829624157144
ANN22890-RA	0	0	0	0	0	0	0	0
ANN22891-RA	14.2450157995838	15.2528986039858	8.63670552811518	19.6618649571199	14.359670563726	167.035246493675	15.7557241207495	6.28201069728261
ANN22892-RA	12.2056307245912	4.86631173386781	14.0793522463752	6.28919120855967	18.2681461450404	60.5391838699899	224.485797278719	3.5667026833717
ANN22893-RA	640.541659418979	301.334687804474	87.6548728824166	130.51557762408	131.967306443554	297.099224503153	347.701108523417	689.410971400923
ANN22894-RA	0	0	0	0	0	0	0	0
ANN22895-RA	227.54046738378	201.618894482345	160.940820045786	260.556205541872	209.809484930832	1590.06778862475	333.467958602887	30426.9588913605
ANN22896-RA	1.49793279319375	1.26193806988091	0.894410350029492	1.90523616692776	1.61917426936288	2.20878215488715	4.70056220504204	0
ANN22897-RA	0	0	0	0	0	0	0	23.3472079722155
ANN22898-RA	12.5646440068217	0	0	0.99541423772728	0.193883428425369	0.328353401271108	0.745515992974815	0
ANN22899-RA	56.9391133830578	73.8484168256102	97.1568830591984	74.9625826694929	102.022241282862	80.8585541601048	77.5393935680995	193.725290344697
ANN22900-RA	9.59760525652143	2.68118752470896	20.4100480969235	7.51770738172536	5.50432008282294	8.06215821281133	3.05353508506096	0
ANN22901-RA	1095.26665808898	683.756930613096	861.466843942912	1313.01692189494	910.196369431927	2031.44904745472	1215.98476918306	180.249180454417
ANN22902-RA	0	0.783923398433131	0	1.42946858994816	1.67905957785245	2.20500936938831	1.60073802051108	6.56681574132858
ANN22903-RA	20.9984580921429	73.5398231126881	111.077694537121	81.606813166722	63.1537581496862	6.70105847565456	85.2229087143398	0
ANN22904-RA	1.14134669138115	0	0	0	0.572656642506368	0.33369575140942	0.404655923356824	0
ANN22905-RA	15.2196232887694	2.24300853660892	0.921245803466516	3.06683574925344	4.26650296379374	1.81173545868484	5.78781368365746	0
ANN22906-RA	0.211260381626524	1.56107641770801	0	0	0	0	0	0
ANN22908-RA	0	0	0	0	0	0	0	0
ANN22909-RA	26.4474537240268	3066.90791489935	8.15762610148705	90.2591200393226	31.41370953373	0	0	3.4344841122611
ANN22910-RA	0.829665904314729	0.891032706453622	10.1621864945986	0.997515677623035	0.296021835522389	8.37322464508864	0	0
ANN22911-RA	233.97703029995	182.700408436837	198.122003609282	241.623423637171	228.254174817183	466.324091165365	231.954230290049	13593.1892910206
ANN22912-RA	161.063102444086	268.848755870341	243.860231723152	265.298506104971	202.169377007653	244.292699156083	194.115673896824	3104.74753565576
ANN22913-RA	76.5221864500192	81.8402035261978	86.2505163041104	78.4083473251659	95.7655197090911	117.271456870691	182.537303121255	705.431690635938
ANN22914-RA	0	0	0	0	0	0	0	0
ANN22915-RA	0	0	0	0	0	0	0	0
ANN22916-RA	221.53202339013	178.251342527275	156.62217592337	237.155823496831	171.747680810861	205.756499002138	181.502554968305	527.064582231336
ANN22917-RA	0	0	0	0	0	0	0	0
ANN22918-RA	0	0	0	0	0	0	0	0
ANN22919-RA	1.98482656867954	3.18491773936769	0	2.03735643235642	0.295365567372825	8.67352966173691	11.5844357736484	40.0237850952266
ANN22920-RA	0	0	0	0	0	0	0	0
ANN22921-RA	21.9522166471522	38.8758043283735	11.9117845273858	37.2824380111803	15.3297414194784	24.1333143207919	32.586020880883	16.802131448113
ANN22922-RA	0.406351300798748	0.913650941873938	0	0	1.89818525160452	0	0.740686122070329	0
ANN22923-RA	32.5940631939099	4.14522367128353	11.1029027765219	3.25155350374681	13.9528303165967	8.19828823061375	19.823742678718	10.1181870308223
ANN22924-RA	3.27385349075329	2.05134906158641	28.0535679392358	0.982201298394337	2.60769373268805	0.318388861646361	0.765445728014508	91.5343447545584
ANN22925-RA	0	0	0	0	0	0	0	0
ANN22926-RA	0	0	0	0	0	0	0	0
ANN22927-RA	0	0	0	0	0	0	0	0
ANN22928-RA	0	0	0	0	0.59073113474565	0	0	0
ANN22929-RA	0	0.591870657367357	0	0	0	0	0	0
ANN22930-RA	14.8029387359505	0	0	2.26377597541233	4.95235386736756	15.7428090785824	0	3.34338917849274
ANN22931-RA	18.1873284767422	3.95150185309891	6.15803155027806	3.95644999376246	0.968383278690775	2.40478179113388	1.28316705881075	19.821587738547
ANN22932-RA	0	0	0	0	0	0	0	0
ANN22933-RA	0	1.36455948345862	0	0.605612906805364	0	0	0	0
ANN22934-RA	0	5.48292924927481	145.658447482633	2.0954608184952	57.4745994143241	10.84045462599	36.7312796947359	9.93151927968285
ANN22935-RA	10.6064256698986	6.27270769102025	2.9372255846623	7.57739590869479	2.36314620722623	1.01250464061461	10.0282319489288	46.8217722100704
ANN22936-RA	22.2187625487064	27.7560954897718	140.740401449927	12.4359016342085	66.4392640963737	0	6.33216465029507	0
ANN22937-RA	25.0536203759367	27.387440477055	72.9371284951595	26.6099576253564	52.2845763337569	3.00337195449801	6.02556890591415	4022.46708019075
ANN22938-RA	2.29004715990191	7.385460947534	574.191190187043	2.1643665922955	112.329862619761	5.05597994593783	0	0
ANN22939-RA	0	0	0	0.230859031898459	1.1858337849711	2.32842299739168	3.73385828264566	0
